"ID","First Name","Last Name","Team ID","Parent Team ID","Level","Pos","Role","Age","Retired"
1,Rob,Miller,350,18,6,2,0,21,0
4,Robbie,Harmon,185,28,4,6,0,21,0
6,Jack,Thomas,185,28,4,1,13,22,0
7,Jon,Washington,346,13,6,1,12,21,0
8,Chris,Trammel,348,27,6,1,12,21,0
9,Gregorio,Rodríguez,192,22,4,2,0,21,0
10,Gene,Starks,179,29,4,1,11,22,0
12,Cory,Meyer,149,20,4,2,0,21,0
13,Tyrone,King,166,11,4,4,0,22,0
14,Ron,Graham,253,18,6,1,11,21,0
15,Spike,Giles,380,4,6,5,0,21,0
17,Chad,Hughes,257,4,6,1,12,20,0
18,Steve,Gibson,198,9,4,7,0,21,0
19,Chris,Pique,209,18,5,5,0,21,0
20,Alfredo,Martínez,257,4,6,1,12,21,0
21,Von,Randolph,215,21,5,1,12,22,0
22,Danny,St. John,346,13,6,6,0,20,0
25,Sébastien,Boivin,138,14,3,2,0,20,0
26,Ron,Johnson,226,25,5,3,0,20,0
27,Silvino,López,349,17,6,1,11,21,0
28,Dylan,Bolden,219,20,5,1,12,21,0
29,A.C.,Johnston,164,16,4,6,0,21,0
31,Cliff,Taylor,337,11,6,1,11,21,0
32,Jamie,Fisher,199,25,4,3,0,21,0
33,Bob,Nesbitt,198,9,4,9,0,21,0
34,Scotty,Green,155,15,4,2,0,21,0
35,Dave,Case,351,22,6,1,12,21,0
72,Miguel,Amaya,0,0,0,2,0,45,1
114,Christopher,Bourguignon,364,27,6,1,12,21,0
187,Ken,Arnold,370,15,5,5,0,21,0
288,Anastasio,Gutiérrez,0,0,0,9,0,35,1
293,Juan,Oliva,350,18,6,6,0,22,0
298,Chad,Crawford,158,30,4,5,0,21,0
316,Dailyn,De Oleo,0,0,0,1,13,46,1
325,Mike,Sharp,265,13,6,2,0,21,0
342,Salvatore,Costa,177,7,4,1,12,22,0
355,Young-kyoo,Lee,0,0,0,1,12,37,0
364,Joe,Blackburn,219,20,5,1,12,20,0
372,Juan,Rivera,25,0,1,3,0,35,0
374,Ben,Payne,357,23,6,3,0,21,0
375,Bernardo,Román,0,0,0,1,11,40,1
388,Dan,Turner,0,0,0,1,12,42,1
389,Ed,Lindsey,0,0,0,1,12,38,1
391,Bennie,Hutchison,167,26,4,7,0,21,0
399,Chad,Brock,0,0,0,9,0,42,1
406,Tim,Cantrell,0,0,0,5,0,39,1
414,Ron,Cain,153,23,4,6,0,21,0
416,Steve,Bowman,342,2,6,1,11,21,0
426,Dave,Madison,207,19,5,3,0,21,0
429,Darrel,Williamson,0,0,0,1,12,41,1
455,Jesús,Méndez,0,0,0,8,0,35,1
458,Clint,Lloyd,0,0,0,7,0,37,1
475,Tonny,Belli,0,0,0,3,0,36,1
512,Mal,Johnson,0,0,0,5,0,26,0
540,Chip,Sweeney,0,0,0,1,11,25,0
714,Wilbert,Sanford,193,8,4,4,0,21,0
780,Dave,Hoffman,250,21,6,1,12,21,0
782,Steve,Harper,370,15,5,5,0,21,0
789,Rob,Montgomery,166,11,4,8,0,26,0
793,Andy,Francis,166,11,4,1,12,25,0
