ID,Name,Pos,League,Team,Org,LgLvl,Age,Height,Bats,Throws,Cntct,Gap,Pow,Eye,Ks,PotCntct,PotGap,PotPow,PotEye,PotKs,IFR,IFE,IFA,TDP,OFR,OFE,OFA,CAb,CArm,P,C,1B,2B,3B,SS,LF,CF,RF,Speed,Steal,Run,SacBunt,BuntHit,Stf,Mov,Ctrl,PotStf,PotMov,PotCtrl,Vel,GB,Stm,Hold,Fst,Snk,Cutt,Crv,Sld,Chg,Splt,Frk,CirChg,Scr,Kncrv,Knbl,PotFst,PotSnk,PotCutt,PotCrv,PotSld,PotChg,PotSplt,PotFrk,PotCirChg,PotScr,PotKncrv,PotKnbl,Int,WrkEthic,Greed,Loy,Lead
1,"Rob Miller",C,143,350,18,6,22,187,R,R,35,40,25,50,30,40,40,30,60,35,25,25,35,25,25,25,35,55,45,0,0,0,0,0,0,0,0,0,25,20,20,50,30,20,30,20,20,30,20,80-83,45,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,N,N,L,N
4,"Robbie Harmon",SS,105,151,28,4,21,192,R,R,40,50,40,50,35,45,50,50,60,40,35,40,55,45,20,45,55,20,20,0,0,0,0,20,0,0,0,0,50,60,80,25,20,20,30,20,20,30,20,80-83,44,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,L,N,N,N,N
6,"Jack Thomas",CL,109,185,28,4,22,188,R,R,35,40,25,25,30,35,40,30,30,35,20,30,40,25,30,25,30,20,20,20,0,0,0,0,0,0,0,0,20,20,30,60,20,50,50,40,60,50,50,91-93,62,70,50,55,50,0,0,0,20,0,0,0,0,0,0,60,60,0,0,0,25,0,0,0,0,0,0,N,N,H,L,L
7,"Jon Washington",RP,143,346,13,6,22,184,R,R,40,40,20,25,35,40,40,20,25,35,20,25,50,20,25,25,30,20,20,20,0,0,0,0,0,0,0,0,20,25,30,60,20,45,55,40,45,55,45,90-92,64,45,60,0,45,50,50,0,0,0,0,0,0,0,0,0,50,50,50,0,0,0,0,0,0,0,0,N,N,N,N,N
8,"Chris Trammel",RP,143,348,27,6,22,192,R,R,35,40,30,20,30,40,40,30,20,40,20,25,45,25,20,35,25,20,20,20,0,0,0,0,0,0,0,0,30,30,40,45,25,55,35,40,60,35,45,96-98,54,75,60,55,0,0,0,0,25,45,50,0,0,0,0,60,0,0,0,0,25,50,55,0,0,0,0,N,N,N,L,N
9,"Gregorio Rodríguez",C,107,157,22,4,22,195,R,R,40,45,25,30,45,45,45,30,30,60,30,30,45,25,30,35,45,55,55,0,0,0,0,0,0,0,0,0,20,30,35,45,20,20,30,20,20,30,20,80-83,42,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N
10,"Gene Starks",SP,143,347,29,6,22,202,L,L,30,40,25,25,25,35,40,25,25,30,30,25,35,20,35,35,30,20,20,45,0,0,0,0,0,0,0,0,20,20,20,65,20,60,40,40,65,40,50,90-92,63,65,60,60,0,0,0,35,75,0,0,0,0,0,0,60,0,0,0,60,75,0,0,0,0,0,0,L,N,N,H,N
12,"Cory Meyer",C,105,149,20,4,22,191,L,R,40,70,50,55,30,40,70,60,65,30,20,35,40,20,40,25,40,40,40,0,25,25,0,0,0,0,0,0,55,65,45,40,20,20,30,20,20,30,20,80-83,41,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,L,N,N,N,N
13,"Tyrone King",2B,107,166,11,4,22,179,R,R,45,45,35,40,40,50,45,35,50,50,55,50,45,55,25,45,30,20,20,0,0,0,45,0,0,0,0,0,65,60,50,65,60,20,30,25,20,30,25,80-83,49,20,25,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,L,H,L,L
14,"Ron Graham",RP,143,350,18,6,21,182,L,L,35,35,20,25,30,35,35,25,25,30,20,35,45,20,25,30,30,20,20,20,0,0,0,0,0,0,0,0,20,20,20,40,20,45,35,40,50,40,55,93-95,42,70,80,0,0,45,0,45,30,0,0,0,0,0,0,0,0,50,0,50,45,0,0,0,0,0,0,N,N,N,N,N
15,"Spike Giles",3B,143,380,4,6,21,183,R,R,35,35,25,35,35,40,35,25,45,40,35,45,60,30,20,45,60,20,25,0,0,0,0,20,0,0,0,0,20,40,35,45,20,20,30,20,20,30,20,80-83,46,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,L,H,N,N
17,"Chad Hughes",RP,143,380,4,6,21,192,L,L,40,40,25,20,30,40,40,25,20,35,30,20,50,20,20,25,30,20,20,40,0,0,0,0,0,0,0,0,30,20,20,60,25,50,30,30,60,35,30,91-93,44,80,75,50,0,0,50,30,30,0,0,0,0,0,0,50,0,0,50,30,70,0,0,0,0,0,0,L,H,L,N,N
18,"Steve Gibson",LF,109,198,9,4,21,189,R,R,45,60,40,30,35,45,60,50,40,45,30,30,35,25,60,50,50,20,25,25,0,0,0,0,0,65,30,20,60,65,45,25,45,35,35,40,50,40,45,90-92,52,65,40,0,0,40,45,0,30,0,0,0,0,0,0,0,0,45,50,0,55,0,0,0,0,0,0,N,H,N,N,N
